epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.86111,2.59976,2.66243,2.62246,0.54488,0.14286,0.18401,0.08862,2.54266,2.48187,2.3187,0.00024,0.00024,0.00024
2,12.5271,2.17753,2.31649,2.07965,0.22076,0.34694,0.18922,0.0608,2.31203,2.48909,2.17461,0.0004901,0.0004901,0.0004901
3,16.606,1.98139,1.96301,1.92718,0.30009,0.30612,0.22707,0.0779,2.34165,2.5069,2.18949,0.000729904,0.000729904,0.000729904
4,20.7146,1.9167,1.9986,1.87471,0.45139,0.18367,0.23497,0.09509,2.50378,2.48814,2.31649,0.000959412,0.000959412,0.000959412
5,25.3468,1.82421,1.81079,1.84078,0.48556,0.28571,0.27267,0.09712,2.43241,2.5763,2.27457,0.00117862,0.00117862,0.00117862
6,30.0072,1.83503,1.78327,1.85058,0.42693,0.28571,0.23103,0.09987,2.48519,2.30634,2.39598,0.00138754,0.00138754,0.00138754
7,34.872,1.88032,1.88721,1.87252,0.29038,0.30612,0.18385,0.0566,2.68502,2.67179,2.46106,0.00158616,0.00158616,0.00158616
8,38.6717,1.93317,1.84009,1.87625,0.41919,0.30612,0.25447,0.11261,2.69959,2.29059,2.56099,0.0017228,0.0017228,0.0017228
9,43.2227,1.88763,1.73462,1.80726,0.32465,0.30612,0.26545,0.10219,2.67722,2.34337,2.35935,0.0016832,0.0016832,0.0016832
10,47.3198,1.80842,1.83702,1.75126,0.38242,0.20408,0.18223,0.07639,2.41856,2.38422,2.26881,0.0016436,0.0016436,0.0016436
11,51.4219,1.79242,1.75178,1.79215,0.40408,0.36735,0.27817,0.09195,2.29588,2.2406,2.27656,0.001604,0.001604,0.001604
12,55.0811,1.76558,1.78339,1.79759,0.33988,0.39937,0.27594,0.12697,2.16178,2.1991,2.125,0.0015644,0.0015644,0.0015644
13,59.6435,1.69606,1.64533,1.7419,0.24217,0.26531,0.21271,0.10597,2.21697,2.41521,2.14668,0.0015248,0.0015248,0.0015248
14,63.4114,1.77951,1.61474,1.80239,0.36426,0.30407,0.28361,0.11519,2.26063,2.18579,2.23127,0.0014852,0.0014852,0.0014852
15,67.1921,1.65863,1.65883,1.68778,0.32274,0.28571,0.28594,0.10747,2.3692,2.38079,2.33247,0.0014456,0.0014456,0.0014456
16,70.9002,1.6951,1.63192,1.73262,0.37441,0.40816,0.31743,0.14136,2.23569,2.12103,2.20383,0.001406,0.001406,0.001406
17,75.3751,1.68877,1.58961,1.71735,0.42594,0.38776,0.37362,0.1603,2.14675,1.95878,2.09987,0.0013664,0.0013664,0.0013664
18,79.8424,1.62914,1.58194,1.66004,0.23744,0.38776,0.2181,0.09123,2.40396,2.33553,2.32617,0.0013268,0.0013268,0.0013268
19,83.3827,1.64287,1.52639,1.63209,0.36112,0.40816,0.27126,0.11,2.25582,2.39048,2.16262,0.0012872,0.0012872,0.0012872
20,87.5278,1.62484,1.46764,1.6321,0.43595,0.38776,0.34847,0.16123,2.19743,2.09234,2.11283,0.0012476,0.0012476,0.0012476
